Weather score
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.736964280941621,0.9591778873660426,0.7391306532055556,0.7299104632032765,0.7614600060492136,0.7689567525723102,0.732853889478702
0.7623959626394726,0.515166414904365,0.7648272204119654,0.7179625247707061,0.7719336743581998,0.7970482061423787,0.7461701762593141
0.8327704775004028,0.8874647019556359,0.8350039362714786,0.8358402787921698,0.833838228948938,0.836718495296123,0.7974101430204451
0.4114832372756905,0.16344245730459173,0.449458143074482,0.37472843934943606,0.39082042150657514,0.4163236755300314,0.40829021328968407
0.38218824157429887,0.5478141446303945,0.30023290949623505,0.4834859396738885,0.42604674797621633,0.2358950097565806,0.4940947990249958
0.6934636821418517,0.5884819254578307,0.6714207982579028,0.7100051002213671,0.6875515744602849,0.7540555255188249,0.7237033092687958
0.4989944103558893,nan,0.5081847705136439,0.5183799450049004,0.560321814281632,0.5192277163299059,0.5597889403417152
0.5616555355918351,0.3797728903726668,0.5794150391068041,0.5766454942442967,0.5412638012844533,0.5524384143557572,0.5813132768830037
0.5625655468172001,nan,0.600658646681418,0.5091827672222977,0.5376608886791041,0.5321301350631708,0.4189665622074878
0.08127260536598462,nan,nan,0.004024950128059214,0.036424799295156976,0.2855909608074099,nan
Weather accuracy
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.6878766643307639,1.0,0.6867535287730727,0.6679596586501164,0.7068201948627104,0.7207446808510638,0.6887068461088356
0.7188535776954572,0.47619047619047616,0.7138728323699421,0.6408450704225352,0.7324414715719063,0.7620253164556962,0.6938906752411576
0.8050739957716702,0.8666666666666667,0.8027821404532196,0.807163531114327,0.8013066871637202,0.806993006993007,0.759018456375839
0.25949367088607594,0.0,0.295,0.22535211267605634,0.26666666666666666,0.2079207920792079,0.28451882845188287
0.2073490813648294,0.0,0.1484375,0.2874251497005988,0.3076923076923077,0.09090909090909091,0.3238095238095238
0.6218731820826061,0.4,0.5971162001696353,0.6346396965865992,0.6012820512820513,0.7032967032967034,0.6617982656321314
0.3176815847395451,nan,0.3446969696969697,0.3273381294964029,0.4,0.35106382978723405,0.40969162995594716
0.46614173228346456,0.25,0.47904191616766467,0.4729241877256318,0.4380053908355795,0.44603174603174606,0.48540706605222733
0.41318681318681316,nan,0.4698275862068966,0.3114754098360656,0.43434343434343436,0.38341968911917096,0.30678466076696165
0.0,nan,nan,0.0,0.0,0.0,nan
Scene score
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.7422993009407086,0.9768072250241836,0.7297828329136341,0.7280958746573813,0.7664356257411239,0.9384438213670051,0.8873922239374059
0.7668951654352374,0.9873134492585368,0.720800088384451,0.6837230915450468,0.7645849596810045,0.7072078926415932,0.5924065971596085
0.8199522830843256,0.7309156147400528,0.8383792729534095,0.8469724249677565,0.8565301045610422,0.8833475677756644,0.7860460775127733
0.4281970592503057,nan,0.3646493608977396,nan,0.29930155787381796,nan,nan
0.4130019742487922,nan,0.3050764663912683,0.3756292398548687,0.39697522134520996,nan,0.181250413319713
0.7143029620044862,0.533720206742619,0.6036116320706113,0.5951953360707364,0.6558272029545552,0.9640401155587183,0.7713648176596791
0.5233163573948912,nan,0.47873927682497436,0.5726887875235908,0.5418459920047765,0.8553655625170619,nan
0.5793590103974596,0.6735780486105511,0.5498075058950265,0.35225228436193307,0.5197439226834318,0.24096399074901081,0.5005025459398446
0.5250026635905694,0.4598541260004483,0.5572024939000216,nan,0.5015590261729516,nan,nan
0.13969985184020162,nan,0.17356640027800072,nan,nan,nan,nan
Scene accuracy
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
